Title;PMID;Include;Reason for exclusion;Publishing year;ICD-10 chapter;COVID-19 research;First author;Senior author;Data source;Data origin
CYP2C19 Loss-of-Function Associated with First-Time Ischemic Stroke in Non-surgical Asymptomatic Carotid Artery Stenosis During Clopidogrel Therapy.;33611730;Yes;n/a;2022;9;No;US;US;Vanderbilt University Medical Center;US
The challenges facing deep learning-based catheter localization for ultrasound guided high-dose-rate prostate brachytherapy.;35118676;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
GERD-A Burning Problem after Sleeve Gastrectomy?;34682573;Yes;n/a;2021;11;No;PL;PL;Provincial Hospital in Kielce;PL
Relationship Between Maximal Left Ventricular Wall Thickness and Sudden Cardiac Death in Childhood Onset Hypertrophic Cardiomyopathy.;35491873;Yes;n/a;2022;9;No;UK;UK;Multiple;various
Post-Combat-Injury Opioid Prescription and Alcohol Use Disorder in the Military.;36127194;No (not retrieved);Not retrieved;2022;;;;;;
Automated risk assessment of newly detected atrial fibrillation poststroke from electronic health record data using machine learning and natural language processing.;35966534;Yes;n/a;2022;9;No;TW;TW;Ditmanson Medical Foundation Chia-Yi Christian Hospital;TW
Cardiac Comorbidity Risk Score: Zero-Burden Machine Learning to Improve Prediction of Postoperative Major Adverse Cardiac Events in Hip and Knee Arthroplasty.;35904198;Yes;n/a;2022;9;No;US;US;Truven Health Analytics;US
Use of ICD-10 Codes for Human Trafficking: Analysis of Data From a Large, Multisite Clinical Database in the United States.;35775908;Yes;n/a;2022;;No;US;US;TriNetX;US
Pertuzumab Plus Trastuzumab for Treatment-Refractory HER2-Amplified Metastatic Colorectal Cancer: Comparison of the MyPathway Trial With a Real-World External Control Arm.;35649212;Yes;n/a;2022;2;No;JP;JP;Flatiron Health;US
Impact of COVID-19 on telepsychiatry at the service and individual patient level across two UK NHS mental health Trusts.;34583940;Yes;n/a;2021;5;Yes;UK;UK;Oxford Health NHS Foundation Trust, Southern Health NHS Foundation Trust;UK
Monitoring New Symptoms After COVID-19 Infection Among Primary Care Patients in New York City.;34535527;Yes;n/a;2021;22;Yes;US;US;New York University Langone Health;US
Predictive Modeling of Morbidity and Mortality in Patients Hospitalized With COVID-19 and its Clinical Implications: Algorithm Development and Interpretation.;34081611;Yes;n/a;2021;22;Yes;US;US;New York University Langone Health;US
Acute Ischemic Stroke and COVID-19: An Analysis of 27 676 Patients.;33535779;Yes;n/a;2021;9;Yes;US;US;Cerner Corporation;US
[The role of interdisciplinary communication in the proper diagnostics of jaw cyst].;33764023;No (excluded before screening);Non-English;2021;;;;;;
A checklist-based method for improving COPD care for the elderly in general practice: study protocol for a cluster randomized controlled trial using electronic health records.;33632282;No (excluded in title and abstract screening);No medical research (no new insights with direct relevance to health);2021;;;;;;
UK prevalence of underlying conditions which increase the risk of severe COVID-19 disease: a point prevalence study using electronic health records.;33706738;Yes;n/a;2021;22;Yes;UK;UK;Clinical Practice Research Datalink;UK
Early risk assessment for COVID-19 patients from emergency department data using machine learning.;33603086;Yes;n/a;2021;22;Yes;UK;UK;Chelsea and Westminster NHS Foundation Trust;UK
Characteristics and general practice resource use of people with comorbid cancer and dementia in England: a retrospective cross-sectional study.;36371194;Yes;n/a;2022;2;No;UK;UK;Multiple;UK
Association Between Survival and Very High Versus High PD-L1 Expression in Patients Receiving Pembrolizumab as First-line Treatment for Advanced Non-Small Cell Lung Cancer.;35945127;No (not retrieved);Not retrieved;2022;;;;;;
Outpatient Antibiotic Resistance Patterns of Escherichia coli Urinary Isolates Differ by Specialty Type.;35727039;Yes;n/a;2022;1;No;US;US;Not precisely specified;US
Real-World Outcomes of Patients With BRAF-Mutated Metastatic Colorectal Cancer Treated in the United States.;35130499;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Clinical characteristics and risk factors of in-hospital gastrointestinal bleeding in patients with acute myocardial infarction.;36237901;Yes;n/a;2022;9;No;CN;CN;Xi'an Jiaotong University;CN
Understanding Flares in Patients With Generalized Pustular Psoriasis Documented in US Electronic Health Records.;35947363;Yes;n/a;2022;12;No;US;US;Optum;US
NeuroBlu, an electronic health record (EHR) trusted research environment (TRE) to support mental healthcare analytics with real-world data.;35459671;No (excluded in title and abstract screening);No medical research (focus on data provision);2022;;;;;;
Characteristics, Comorbidities, and Outcomes of SARS-CoV-2 Infection in Patients With Autoimmune Conditions Treated With Systemic Therapies: A Population-based Study.;34782447;Yes;n/a;2022;22;Yes;US;US;Optum;US
Programmed Death-Ligand 1 Tumor Proportion Score and Overall Survival From First-Line Pembrolizumab in Patients With Nonsquamous Versus Squamous NSCLC.;34455068;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Voucher-Based Kidney Donation and Redemption for Future Transplant.;34160572;Yes;n/a;2021;14;No;US;US;National Kidney Register Database;US
Real-world outcomes of first-line pembrolizumab plus pemetrexed-carboplatin for metastatic nonsquamous NSCLC at US oncology practices.;33911121;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Contraceptive exposure associates with urinary tract infection risk in a cohort of reproductive-age women: a case control study.;36537554;No (excluded before screening);Outside the search period;2023;;;;;;
Severity of COVID-19 and adverse long-term outcomes: a retrospective cohort study based on a US electronic health record database.;34893488;Yes;n/a;2021;22;Yes;US;US;Optum;US
Risks of Multiple Skin Cancers in Organ Transplant Recipients: A Cohort Study in 2 Administrative Data Sets.;34668933;Yes;n/a;2021;2;No;US;US;Optum;US
Concordance of Clinician-Documented and Imaging Response in Patients With Stage IV Non-Small Cell Lung Cancer Treated With First-Line Therapy.;35552726;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
The effects of an evidence- and theory-informed feedback intervention on opioid prescribing for non-cancer pain in primary care: A controlled interrupted time series analysis.;34606504;Yes;n/a;2021;;No;UK;UK;Multiple;UK
COVID-19 vaccination in pregnancy: views and vaccination uptake rates in pregnancy, a mixed methods analysis from SAIL and the Born-In-Wales Birth Cohort.;36503414;Yes;n/a;2022;22;Yes;UK;UK;SAIL Databank;UK
Achievement of European Society of Cardiology/European Atherosclerosis Society lipid targets in very high-risk patients: Influence of depression and sex.;35213664;Yes;n/a;2022;9;No;UK;UK;SAIL Databank;UK
The impact of the COVID-19 lockdown on HIV care in 65 South African primary care clinics: an interrupted time series analysis.;33549166;Yes;n/a;2021;1;Yes;ZA;ZA;Multiple;ZA
Dosage Frequency Effects on Treatment Outcomes Following Self-managed Digital Therapy: Retrospective Cohort Study.;35857353;Yes;n/a;2022;9;No;US;US;Constant Therapy Health;US
Clinical-Genetic Features Influencing Disability in Spastic Paraplegia Type 4: A Cross-sectional Study by the Italian DAISY Network.;35372684;Yes;n/a;2022;6;No;IT;IT;Multiple;IT
Safety and preliminary efficacy of the Gam-COVID-Vac vaccine and outcomes of SARS-CoV-2 infection in Russian patients with genitourinary malignancies.;34774086;Yes;n/a;2021;2;Yes;RU;US;Multiple;RU
Association of COVID-19 With Major Arterial and Venous Thrombotic Diseases: A Population-Wide Cohort Study of 48 Million Adults in England and Wales.;36121907;Yes;n/a;2022;22;Yes;UK;UK;NHS Digital, SAIL Databank;UK
Adverse events and clinical outcomes in patients treated with PD-(L)1 blockade for advanced non-small-cell lung cancer.;36942686;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2022;;;;;;
eARDS: A multi-center validation of an interpretable machine learning algorithm of early onset Acute Respiratory Distress Syndrome (ARDS) among critically ill adults with COVID-19.;34559819;Yes;n/a;2021;10;Yes;US;US;Cerner Corporation;US
Strabismus Surgery Decreases the Risk of Injuries in Pediatric Patients in the OptumLabs Data Warehouse.;34283972;No (not retrieved);Not retrieved;2022;;;;;;
Association of Adherence to Endocrine Therapy Among Patients With Breast Cancer and Potential Drug-Drug Interactions.;36459136;Yes;n/a;2022;2;No;FR;FR;The Health Improvement Network;FR
Using electronic medical record data to assess chronic kidney disease, type 2 diabetes and cardiovascular disease testing, recognition and management as documented in Australian general practice: a cross-sectional analysis.;35177470;Yes;n/a;2022;9;No;AU;AU;Multiple;AU
Association of mental health diagnosis with race and all-cause mortality after a cancer diagnosis: Large-scale analysis of electronic health record data.;34550601;Yes;n/a;2022;2;No;US;US;University of California San Francisco;US
Real-World Assessment of Weight Change in African American Females and Hispanics with HIV-1 After Initiating Integrase Strand-Transfer Inhibitors or Protease Inhibitors.;35083364;Yes;n/a;2022;1;No;US;US;Optum;US
Adherence to National Comprehensive Cancer Network ALK Testing Guidelines for Patients with Advanced Non-Small Cell Lung Cancer in U.S. Community Medical Centers.;33823082;Yes;n/a;2021;2;No;US;US;Flatiron Health;US
Association of SARS-CoV-2 Seropositive Antibody Test With Risk of Future Infection.;33625463;Yes;n/a;2021;22;Yes;US;US;HealthVerity;US
Characteristics and Treatment Rate of Patients With Hepatitis C Virus Infection in the Direct-Acting Antiviral Era and During the COVID-19 Pandemic in the United States.;36477481;Yes;n/a;2022;1;Yes;US;US;Optum;US
Proposing a Sex-Adjusted Sodium-Adjusted MELD Score for Liver Transplant Allocation.;35583884;Yes;n/a;2022;21;No;US;US;Vanderbilt University Medical Center;US
Differential antibody response to COVID-19 vaccines across immunomodulatory therapies for multiple sclerosis.;35533419;Yes;n/a;2022;6;Yes;US;US;Corinne Dickinson Goldsmith Center for Multiple Sclerosis;US
Personalized Analytics and a Wearable Biosensor Platform for Early Detection of COVID-19 Decompensation (DeCODe): Protocol for the Development of the COVID-19 Decompensation Index.;33949966;No (excluded in title and abstract screening);No real-world application (findings not based on real-world data);2021;;;;;;
Incidence of fractures in people with intellectual disabilities over the life course: a retrospective matched cohort study.;36313144;Yes;n/a;2022;5;No;UK;UK;Clinical Practice Research Datalink;UK
The Development and Validation of Simplified Machine Learning Algorithms to Predict Prognosis of Hospitalized Patients With COVID-19: Multicenter, Retrospective Study.;34951865;Yes;n/a;2022;22;Yes;US;US;Optum;US
Epidemiological and Clinical Features of Kawasaki Disease During the COVID-19 Pandemic in the United States.;35713905;Yes;n/a;2022;13;Yes;US;US;Rady Children’s Hospital San Diego, Multiple not precisely specified healthcare facilities;US
Postnatal treatment for children with fetal and neonatal alloimmune thrombocytopenia: a multicentre, retrospective, cohort study.;36108655;No (not retrieved);Not retrieved;2022;;;;;;
Pembrolizumab-combination therapy for previously untreated metastatic nonsquamous NSCLC: Real-world outcomes at US oncology practices.;36324586;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Long-Term Real-World Outcomes of First-Line Pembrolizumab Monotherapy for Metastatic Non-Small Cell Lung Cancer With ≥50% Expression of Programmed Cell Death-Ligand 1.;35402266;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Outcomes Among African American and Non-Hispanic White Men With Metastatic Castration-Resistant Prostate Cancer With First-Line Abiraterone.;34985518;Yes;n/a;2022;2;No;US;US;Flatiron Health;US
Embryologist agreement when assessing blastocyst implantation probability: is data-driven prediction the solution to embryo assessment subjectivity?;35944167;No (excluded in title and abstract screening);No tabular data;2022;;;;;;
Long-term impact of pre-incision antibiotics on children born by caesarean section: a longitudinal study based on UK electronic health records.;35781133;Yes;n/a;2022;15;No;UK;UK;Clinical Practice Research Datalink, The Health Improvement Network;UK
